Time,ProdWnow,ConsWnow,ProdWhToday,ConsWhToday,ProdWh7day,ConsWh7day,ProdWhLife,ConsWhLife
Wed Mar 21 15:45:05 2018, 9629, 270, 45692, 45129, 337368, 332966, 1569351, 2573736
Wed Mar 21 16:00:07 2018, 9370, 163, 48072, 45179, 337398, 332965, 1571731, 2573786
Wed Mar 21 16:15:05 2018, 9049, 177, 50370, 45249, 337443, 332962, 1574029, 2573856
Wed Mar 21 16:30:06 2018, 8614, 396, 52566, 45308, 337500, 332924, 1576225, 2573915
Wed Mar 21 16:45:05 2018, 8170, 161, 54633, 45366, 337552, 332882, 1578292, 2573973
Wed Mar 21 17:00:06 2018, 7544, 410, 56599, 45435, 337660, 332874, 1580258, 2574042
Wed Mar 21 17:15:05 2018, 7006, 365, 58425, 45523, 337795, 332863, 1582084, 2574130
Wed Mar 21 17:30:06 2018, 6452, 407, 60114, 45618, 337950, 332903, 1583773, 2574225
Wed Mar 21 17:45:07 2018, 4461, 276, 61620, 45694, 338094, 332920, 1585279, 2574301
Wed Mar 21 18:00:07 2018, 4962, 3989, 62944, 46101, 338248, 333266, 1586603, 2574708
Wed Mar 21 18:15:05 2018, 4255, 224, 64096, 46355, 338425, 333455, 1587755, 2574962
Wed Mar 21 18:30:06 2018, 3457, 213, 65063, 46582, 338623, 333628, 1588722, 2575189
Wed Mar 21 18:45:06 2018, 2713, 341, 65828, 46766, 338820, 333751, 1589487, 2575373
Wed Mar 21 19:00:07 2018, 1931, 199, 66408, 46985, 339017, 333920, 1590067, 2575592
Wed Mar 21 19:15:05 2018, 1229, 3245, 66801, 47307, 339185, 334161, 1590460, 2575914
Wed Mar 21 19:30:07 2018, 653, 194, 67035, 47530, 339312, 334279, 1590694, 2576137
Wed Mar 21 19:45:06 2018, 289, 458, 67149, 47667, 339389, 334334, 1590808, 2576274
Wed Mar 21 20:00:07 2018, 142, 459, 67202, 47793, 339438, 334379, 1590861, 2576400
