Time,ProdWnow,ConsWnow,ProdWhToday,ConsWhToday,ProdWh7day,ConsWh7day,ProdWhLife,ConsWhLife
Fri Mar 23 19:30:06 2018, 417, 265, 52581, 41012, 334210, 351640, 1717816, 2677355
Fri Mar 23 19:45:05 2018, 169, 257, 52664, 41112, 334278, 351615, 1717899, 2677455
Fri Mar 23 20:00:07 2018, 37, 4584, 52685, 41951, 334299, 352298, 1717920, 2678294
Fri Mar 23 20:15:05 2018, 0, 420, 52689, 42417, 334303, 352648, 1717924, 2678760
Fri Mar 23 20:30:05 2018, 0, 290, 52689, 42509, 334303, 352611, 1717924, 2678852
Fri Mar 23 20:45:05 2018, 0, 4175, 52689, 42835, 334303, 352825, 1717924, 2679178
Fri Mar 23 21:00:07 2018, 0, 198, 52689, 43672, 334303, 353559, 1717924, 2680015
Fri Mar 23 21:15:05 2018, 0, 293, 52689, 43754, 334303, 353526, 1717924, 2680097
Fri Mar 23 21:30:06 2018, 0, 196, 52689, 43805, 334303, 353413, 1717924, 2680148
Fri Mar 23 21:45:04 2018, 0, 199, 52689, 43872, 334303, 353376, 1717924, 2680215
Fri Mar 23 22:00:07 2018, 0, 425, 52689, 43952, 334303, 353362, 1717924, 2680295
Fri Mar 23 22:15:05 2018, 0, 305, 52689, 44036, 334303, 353342, 1717924, 2680379
Fri Mar 23 22:30:06 2018, 0, 426, 52689, 44130, 334303, 353319, 1717924, 2680473
Fri Mar 23 22:45:05 2018, 0, 393, 52689, 44212, 334303, 353286, 1717924, 2680555
Fri Mar 23 23:00:07 2018, 0, 4548, 52689, 45233, 334303, 354210, 1717924, 2681576
Fri Mar 23 23:15:06 2018, 0, 292, 52689, 45492, 334303, 354384, 1717924, 2681835
Fri Mar 23 23:30:06 2018, 0, 292, 52689, 45584, 334303, 353848, 1717924, 2681927
Fri Mar 23 23:45:12 2018, 0, 4389, 52689, 46072, 334303, 353740, 1717924, 2682415
Sat Mar 24 00:00:07 2018, 0, 192, 52689, 46845, 334303, 354430, 1717924, 2683188
